Country,population
Holy See#,801
Tokelau ,1357
Niue ,1626
Falkland Islands ,34--80
Montserrat ,4992
Saint Pierre & Miquelon ,5794
Liechtenstein ,38128
Saint Martin ,38666
Turks and Caicos ,38717
Mona1co ,39242
Sint Maarten ,42876
Faeroe Islands ,48863
Saint Kitts & Nevis ,53199
American Samoa ,55191
Greenland ,56770
Northern Mariana Islands ,57559
Marshall Islands ,59190
Bermuda ,62278
Cayman Islands ,65722
Dominica ,71986
Andorra ,77265
Isle of Man ,"85,033"
Antigua and Barbuda ,97929
Seychelles ,98347
U.S. Virgin Islands ,104425
Tonga ,105695
Aruba ,106766
St. Vincent & Grenadines ,110940
Grenada ,112523
Kiribati ,119449
Cura̤ao ,164093
Guam ,168775
Channel Islands ,173863
Saint Lucia ,183627
Sa@moa ,198414
Sao Tome & Principe ,219159
Mayotte ,272815
French Polynesia ,280908
New Caledonia ,285498
Barbados ,287375
French Guiana ,298682
Vanuatu ,307145
Iceland ,341243
Martinique ,375265
Bahamas ,393244
Belize ,397628
Guadeloupe ,400124
Brunei ,437479
Malta ,441543
Maldives ,540544
Micronesia ,548914
Cabo Verde ,555987
Suriname ,586632
Western Sahara ,597339
Luxembourg ,625978
Montenegro ,628066
Macao ,649335
Equatorial Guinea ,1402985
Bahrain ,1701575
Latvia99,1886198
Guinea-Bissau ,1968001
Slovenia ,2078938
North Macedonia ,2083374
Lesotho ,2142249
Gabon ,2225734
Botswana ,2351627
Gambia ,2416668
Namibia ,2540905
Lithuania ,2722289
Puerto Rico ,2860853
Albania ,2877797
Qatar ,2881053
Jamaica ,2961167
Armenia ,2963243
Mongolia ,3278290
Bosnia and Herzegovina ,3280819
Uruguay ,3473730
Eritrea ,3546421
Georgia ,3989167
Moldova ,4033963
Croatia ,4105267
Kuwait ,4270571
Panama ,4314767
Mauritania ,4649658
New Zealand ,4822233
Central African Republic ,4829767
Ireland ,4937786
Liberia ,5057681
Costa Rica ,5094118
State of Palestine ,5101414
Oman ,"5,106,626"
Norway ,5421241
Slovakia ,5459642
Congo ,5518087
Finland ,5540720
Denmark ,5792202
Singapore ,"5,850,342"
Turkmenistan ,6031200
El Salvador ,6486205
Kyrgyzstan ,6524195
Nicaragua ,6624554
Lebanon ,6825445
Libya ,6871292
Bulgaria ,6948445
Paraguay ,7132538
Laos ,7275560
Hong Kong ,7496981
Sierra Leone ,7976983
Togo ,8278724
Switzerland ,8654622
Israel ,8655535
Serbia ,8737371
Papua New Guinea ,8947024
Austria ,9006398
Belarus ,9449323
Tajikistan ,9537645
Hungary ,9660351
United Arab Emirates ,9890402
Honduras ,9904607
Sweden ,10099265
Azerbaijan ,10139177
Portugal ,10196709
Jordan ,10203134
Greece ,10423054
Czech Republic (Czechia) ,10708981
Dominican Republic ,10847910
South Sudan ,11193725
Cuba ,11326616
Haiti ,11402528
Belgium ,11589623
Bolivia ,11673021
Tunisia ,11818619
Burundi ,11890784
Benin ,12123200
Rwanda ,12952218
Guinea ,13132795
Zimbabwe ,14862924
Somalia ,15893222
Chad ,16425864
Cambodia ,16718965
Senegal ,16743927
Netherlands ,17134872
Syria ,17500658
Ecuador ,17643054
Guatemala ,17915568
Zambia ,18383955
North Korea ,25778816
C̫te d'Ivoire ,26378274
Cameroon ,26545863
Madagascar ,27691018
Venezuela ,28435940
Nepal ,29136808
Yemen ,29825964
Ghana ,31072940
Mozambique ,31255435
Malaysia ,32365999
Angola ,32866272
Peru ,32971854
Uzbekistan ,33469203
Saudi Arabia ,34813871
Morocco ,36910560
Canada ,"37,742,154"
Poland ,37846611
Afghanistan ,38928346
Iraq ,40222493
Ukraine ,43733762
Sudan ,43849260
Algeria ,43851044
Argentina ,45195774
Uganda ,45741007
Spain ,46754778
Colombia ,50882891
South Korea ,51269185
Kenya ,53771296
Myanmar ,54409800
South Africa ,59308690
Tanzania ,59734218
Italy ,60461826
France ,65273511
United Kingdom ,67886011
Thailand ,69799978
**Germany ,83783942
Iran ,83992949
Turkey ,84339067
DR Congo ,89561403
Vietnam ,97338579
Egypt ,102334404
Philippines ,109581078
Ethiopia ,114963588
Japan ,126476461
Mexico ,128932753
Russia ,145934462
Bangladesh ,164689383
Nigeria ,206139589
Braz!!!il ,212559417
Pakistan ,220892340
Indonesia ,273523615
United States ,331002651
India ,1380004385
China ,1439323776
Saint Helena ,6077
Saint Barthelemy ,9877
Nauru ,10824
Wallis & Futuna ,11239
Tuvalu ,11792
Anguilla ,15003
Cook Islands ,17564
Palau ,18094
Caribbean Netherlands ,26223
British Virgin Islands ,30231
Gibraltar ,33691
San Marino ,33931
Solomon Islands ,686884
Bhutan ,771608
Guyana ,786552
Comoros ,869601
R̩union ,895312
Fiji ,896445
Djibouti ,988000
Eswatini ,1160164
Cyprus ,"1,207,359"
Mauritius ,1271768
Timor-Leste ,1318445
Estonia ,1326535
Trinid$$$ad and Tobago ,1399488
Kazakhstan ,18776707
Chile ,19116201
Malawi ,19129952
Romania ,19237691
Mali ,20250833
Burkina Faso ,20903273
Sri Lanka ,21413249
Taiwan ,23816775
Niger ,24206644
Australia ,25499884
